District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Households
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,37128,823286,1700,5600,66,39,13,2522,158438,23226,181664
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,10110,736054,1489,5559,47,6,2,478,160649,27190,187839
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,22882,19057,658,1092,88635,103,54,1006,36920,17474,54394
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,10341,108239,604,1171,20126,28,4,289,40370,7774,48144
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,32604,431279,958,11188,83,10,2,711,132139,15269,147408
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,221880,402879,983,15513,189,26,3,942,196070,17508,213578
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,540063,64234,1828,9551,24,16,2,717,181374,33473,214847
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,30621,959185,1497,14770,140,29,7,1790,210543,48932,259475
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,8439,382006,572,555,44,17,2,597,80521,17555,98076
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,42540,1177342,2746,12187,285,74,2,1653,4518,257721,262239
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695,5592,290581,406,486,25,8,4,344,63788,13558,77346
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,13840,535159,1109,9440,35,6,18,833,147520,21703,169223
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,3116,262263,429,178,6,1,6,216,75616,5272,80888
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115,13180,1057005,1449,6140,55,7,7,849,207067,70666,277733
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033,4267,418076,460,1035,27,25,9,584,95952,25178,121130
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,187621,220614,472,422,21,22,42,722,122267,11350,133617
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,81026,200516,414,753,43,3,252,706,84281,5341,89622
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,93931,133225,277,450,2094,3,514,202,72378,5993,78371
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,489044,59771,1962,3418,106,57,235,392,148664,34696,183360
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,153898,156275,1208,3107,15,7,3,154,95572,12261,107833
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,1289240,107489,12104,114272,470,1987,321,4075,254566,248043,502609
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,275311,22950,2306,17961,48,16,6,300,94247,19989,114236
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,479782,32455,1559,2745,1740,57,14,728,186395,13836,200231
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,1461140,19797,3023,8929,14511,194,208,2273,588321,39007,627328
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,11649,74,212,35,19572,3,1,18,17434,0,17434
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,415669,2974,1568,1396,15377,94,83,742,167995,20709,188704
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,981412,9460,876,4081,2628,43,86,1191,431129,31696,462825
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,449412,3711,243,591,95,293,9,414,196116,15232,211348
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,480138,14275,390,26009,56,70,10,225,185091,20126,205217
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,371973,6984,236,2387,113,10,7,246,152458,11987,164445
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,548579,14678,1452,13926,574,591,110,410,192787,51509,244296
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,476830,33215,577,15501,2645,236,86,765,171102,21054,192156
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,791449,11810,2025,4047,3262,185,197,1035,279269,95896,375165
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,64732,448,485,249,18086,29,45,47,44514,0,44514
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,1074332,27667,176587,1002874,405,580,812,15066,420860,185488,606348
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,336124,10190,5445,453692,6662,553,334,2168,165433,95770,261203
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,1394329,30233,26016,718363,11385,4011,805,8448,330339,377791,708130
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,1000743,23089,14968,538208,3476,2034,531,3576,422673,128592,551265
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,239155,199304,401368,6829,1479,192885,5885,695,266,2903,183168,48383,231551
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,152851,16808,1698,427521,48,178,251,808,117559,57337,174896
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,1502403,77713,16517,1863408,2007,19620,1254,15817,395032,641789,1036821
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,158414,9388,3277,818921,178,436,365,4767,214295,74144,288439
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,906408,6844,19358,1090815,454,1143,278,3774,348522,153868,502390
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,254920,4333,1681,638625,240,744,433,920,149507,74650,224157
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,141363,3125,1227,469789,155,1109,103,637,99946,58917,158863
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,380569,16299,2474,984286,246,1266,559,2826,218159,137563,355722
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,156539,10375,917,598443,123,1577,493,1284,145603,50786,196389
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,783306,40043,5683,1059944,245,1914,1410,3141,299279,218090,517369
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,690939,12502,54344,1716935,876,3152,1044,10864,275477,385476,660953
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735,60504,3855,6095,1044903,101,650,47,3472,222717,44457,267174
51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,304481,14492,2094,361045,118,653,143,1601,148162,60537,208699
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631,476276,29488,5342,478908,257,1257,239,2861,117293,174042,291335
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,389410,179116,2406,1077438,268,3222,1038,2271,292156,156788,448944
54,PUNJAB,Barnala,595527,317522,278005,359831,201999,157832,112859,13100,622,467751,108,246,481,360,102577,54222,156799
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092,852574,51447,8720,138329,1160,1960,246,1014,8911,289456,298367
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889,324859,3554,353,167,563,74,105,411,112148,9061,121209
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161,385818,4395,428,323,190,11,23,417,163434,22906,186340
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,91803,79130,240170,1486,171,38,9,4,44,363,112705,4454,117159
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,609835,7374,656,290,32,91,109,544,227059,27177,254236
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290,1424916,202057,13416,36454,11778,5117,217,2739,228245,269393,497638
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741,660507,22931,2161,619,58,212,51,732,279682,36780,316462
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,475105,6015,1401,260,185,13,30,430,183687,26256,209943
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937,257509,1440,397,46,102,7,16,381,96031,3880,99911
64,UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893,611250,7752,1895,256,201,31,6,1115,260056,21082,281138
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,249563,8693,870,336,24,28,6,128,85202,12839,98041
66,UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721,809717,120742,5091,17419,570,356,181,529,193086,105577,298663
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,1104452,372267,6064,162768,505,738,159,1949,269406,145253,414659
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,691411,486943,1214935,648119,4878,17364,709,2501,46,1870,301828,186183,488011
69,HARYANA,Panchkula,561293,299679,261614,405318,229862,175456,490702,23451,2583,40951,1008,1626,90,882,70895,93656,164551
70,HARYANA,Ambala,1128350,598703,529647,818025,461288,356737,955096,22143,3705,138202,381,4845,110,3868,175365,139891,315256
71,HARYANA,Yamunanagar,1214205,646718,567487,832457,474793,357664,984929,138569,3646,84455,161,1555,126,764,214464,143259,357723
72,HARYANA,Kurukshetra,964655,510976,453679,646893,370828,276065,805175,15970,1943,140395,214,375,106,477,203553,88268,291821
73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,974520,8232,1769,87558,265,351,70,1539,231091,75696,306787
74,HARYANA,Karnal,1505324,797712,707612,978013,564516,413497,1341002,31650,2049,126207,532,1516,49,2319,292682,135920,428602
75,HARYANA,Panipat,1205437,646857,558580,786599,464136,322463,1083936,86622,2261,25064,289,4647,99,2519,173502,153804,327306
76,HARYANA,Sonipat,1450001,781299,668702,998316,589881,408435,1390149,45100,1405,4484,336,6033,29,2465,283858,133576,417434
77,HARYANA,Jind,1334152,713006,621146,832758,502049,330709,1276669,23016,889,29103,172,2594,56,1653,278335,89665,368000
78,HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107,779243,8360,996,150969,171,1172,530,570,203020,55360,258380
79,HARYANA,Sirsa,1295189,682582,612607,782897,456968,325929,940255,9524,2186,338962,370,2256,624,1012,245476,93316,338792
80,HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111,1701061,21650,1945,12270,334,3620,33,3018,302013,154113,456126
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,1611031,15515,873,2401,254,1016,26,3329,357047,99235,456282
82,HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557,1043887,8185,732,3916,200,3491,24,769,175203,131739,306942
83,HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611,945693,8247,734,1042,105,645,22,1917,211816,78328,290144
84,HARYANA,Mahendragarh,922088,486665,435423,630255,380440,249815,913251,5660,301,1737,75,644,15,405,223726,44216,267942
85,HARYANA,Rewari,900332,474335,425997,636947,375453,261494,889133,5713,701,1804,202,1525,12,1242,199449,69305,268754
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450,1408801,70842,9725,15097,944,7451,254,1318,141703,381988,523691
87,HARYANA,Mewat,1089263,571162,518101,454897,308435,146462,221846,862647,1235,592,516,1453,4,970,187398,36237,223635
88,HARYANA,Faridabad,1809733,966110,843623,1272739,734940,537799,1588407,161680,9743,34572,640,4883,249,9559,87700,382981,470681
89,HARYANA,Palwal,1042708,554497,488211,599796,379696,220100,826342,208566,932,3971,345,915,20,1617,186069,63090,249159
90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1541952,1165903,3211042,291330,14100,92129,2281,43460,345,1852,67592,959275,1026867
91,NCT OF DELHI,North,887978,475002,412976,681517,381615,299902,726443,119792,7256,19066,1824,13049,81,467,4512,296559,301071
92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,912481,699107,1529337,657585,9123,17424,2388,24673,48,1046,5326,482255,487581
93,NCT OF DELHI,East,1709346,907500,801846,1352998,748382,604616,1410852,178807,15792,53027,2643,46927,366,932,1086,461132,462218
94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,65678,48501,124482,8480,4852,2933,312,679,66,200,0,52664,52664
95,NCT OF DELHI,Central,582320,307821,274499,442360,240518,201842,364148,194278,3527,13038,362,5886,107,974,0,194897,194897
96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,1093933,867246,2087294,149807,18337,271752,1993,11322,273,2465,1809,699703,701512
97,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,1025261,762428,2102743,112691,31226,31692,2784,9215,266,2341,41179,606503,647682
98,NCT OF DELHI,South,2731929,1467428,1264501,2078402,1185036,893366,2155759,445914,41880,69520,3862,11020,645,3329,2918,728145,731063
99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,710908,482435,1437144,50688,2077,474853,938,1988,164,1316,397697,164897,562594
100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,624281,409855,1433067,118673,1542,216997,241,1935,138,2099,389059,108694,497753
101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,782399,496402,2073356,235741,1901,20072,285,30850,79,1653,335754,196179,531933
102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,696729,452540,1777879,249736,958,402,188,7104,127,3153,344897,148996,493893
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,1905682,228178,1004,275,56,548,85,1217,500452,150357,650809
104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1359829,822647,3039279,547335,2696,64532,4384,13221,348,2384,782294,212967,995261
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,2143046,371286,1576,23456,899,5758,18,2423,479437,129697,609134
106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,435721,247377,1127520,72258,688,1356,92,2739,21,1842,214670,58626,273296
107,RAJASTHAN,Karauli,1458248,783639,674609,805849,531904,273945,1370977,81553,602,297,70,3424,413,912,305047,59308,364355
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,1165505,155681,945,812,177,9991,42,2398,282057,71264,353321
109,RAJASTHAN,Dausa,1634409,857787,776622,938051,596935,341116,1582335,45488,439,296,94,3737,115,1905,361084,59610,420694
110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172,5819980,687452,12708,18782,1020,81079,257,4900,754841,977838,1732679
111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,995275,656842,2342076,327583,1122,356,177,4050,15,1954,527560,178274,705834
112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1102750,655874,2833443,454487,1912,366,163,12940,276,4156,675712,166489,842201
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,3224399,411558,6035,4123,514,36697,80,3759,584215,307442,891657
114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,210415,98238,497045,168129,874,1723,98,1521,34,495,159117,30830,189947
115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,783461,404861,2244882,321192,1157,450,157,34010,34,1869,542825,55980,598805
116,RAJASTHAN,Jalor,1828730,936634,892096,829582,543923,285659,1732852,78990,730,231,144,14640,82,1061,419216,48202,467418
117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,309900,166906,996562,30479,1284,572,114,6829,56,450,238535,69639,308174
118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,667381,418312,1870543,143476,1345,1540,141,18974,52,1502,512909,139808,652717
119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,926268,600405,2201663,314159,10605,6799,417,45614,184,3611,409335,274919,684254
120,RAJASTHAN,Tonk,1421326,728136,693190,749659,478329,271330,1243527,153146,754,378,122,22458,30,911,298911,81755,380666
121,RAJASTHAN,Bundi,1110906,577160,533746,585044,371705,213339,1017688,66609,682,11059,144,13455,24,1245,239836,63452,303288
122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,777582,478544,2224839,142427,1978,1468,183,35149,60,2419,530015,145865,675880
123,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,383334,235805,1105676,33677,759,260,100,14966,68,1091,304622,61054,365676
124,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,415820,265771,1340065,28662,830,240,226,16141,853,1535,322816,31547,354363
125,RAJASTHAN,Banswara,1797485,907754,889731,829343,513854,315489,1701234,48834,22250,427,138,22613,109,1880,390437,39407,429844
126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,514851,306974,1413163,97855,1274,1515,252,25843,136,4300,366780,88873,455653
127,RAJASTHAN,Kota,1951014,1021161,929853,1298345,765396,532949,1661307,243993,5665,11058,280,25742,286,2683,203454,311735,515189
128,RAJASTHAN,Baran,1222755,633945,588810,693307,432607,260700,1133349,79984,1432,3066,84,2795,48,1997,249184,69804,318988
129,RAJASTHAN,Jhalawar,1411129,725143,685986,739792,466815,272977,1299751,96164,842,819,46,12488,42,977,298624,63763,362387
130,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,973444,609185,2869976,104307,7406,4278,209,78647,373,3224,665449,182769,848218
131,RAJASTHAN,Pratapgarh,867848,437744,430104,401515,250122,151393,827293,25597,358,72,32,14077,27,392,209813,24269,234082
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,2077108,1220114,856994,1966892,1454052,6523,18627,1937,10208,135,8008,605082,284156,889238
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,2382914,1711453,6495,18601,1516,16345,60,6128,673746,296104,969850
134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1241471,893922,2032081,1585210,6184,50624,1736,2134,41,4703,683875,224648,908523
135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1357435,906413,2488265,2248392,13157,7555,1260,2426,382,10569,692398,355518,1047916
136,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1043666,630408,413258,1073890,1181337,9201,65316,384,1307,63,4321,396775,143217,539992
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,983110,600541,382569,1075440,750368,5952,5295,189,517,21,2439,335888,115486,451374
138,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2141488,1254520,886968,2183255,1185643,10582,24912,1855,18544,236,18662,381520,422303,803823
139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,489858,308112,917474,364583,1840,483,161,16139,25,2343,246055,69991,316046
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3123264,1811397,1311867,3414427,1186776,19026,23001,3487,16412,265,18251,355407,836316,1191723
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1122947,666065,456882,1394025,215500,7366,9261,895,4518,91,16459,170835,338935,509770
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2031656,1253314,778342,2707195,777407,4088,2765,669,1572,86,5389,658449,221628,880077
143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1283380,809187,2904140,729283,7635,5875,2582,2805,91,21478,582117,275942,858059
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,579157,363415,1397225,159448,1350,524,424,1289,63,4385,288150,84883,373033
145,UTTAR PRADESH,Mathura,2547184,1367125,1180059,1507746,943346,564400,2310776,216933,3179,2872,883,2056,126,10359,407488,177802,585290
146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1614594,1065916,3922718,411313,10076,12057,4049,21508,384,36692,496971,406852,903823
147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,1521806,912314,609492,2140745,314812,3370,1804,3395,19077,61,14892,349747,185621,535368
148,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1203885,712110,491775,1746649,100723,1729,475,8814,4161,38,5940,338475,72783,411258
149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,1547477,986501,560976,2867707,790515,6320,1135,1959,678,87,13495,710956,156668,867624
150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2191759,1342697,849062,2830768,1536534,14822,28187,4371,931,339,32407,631613,362798,994411
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1061095,654290,406805,1449007,489686,3510,84787,360,138,45,3474,371752,89638,461390
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,1490930,915142,575788,2412595,527581,4630,51090,2312,301,84,7945,520289,134714,655003
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1237157,796887,3078262,807600,7502,94388,18454,487,226,14324,754938,107672,862610
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1397702,886031,3555450,893725,6579,11611,2663,1410,79,12475,827583,111319,938902
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1374587,847014,3508131,556219,5822,5688,6671,446,98,9770,786613,121064,907677
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521,2732016,363453,3574,1204,920,240,31,6929,596317,121039,717356
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820,3537787,985070,20493,23883,3877,4975,504,13249,344155,717566,1061721
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,2975998,413243,3634,2424,722,397,602,8539,705025,73393,778418
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,654827,437850,1596278,276846,3137,3160,3161,487,100,2035,316647,94843,411490
