District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Households
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,603596,413491,1375788,273967,1263,504,2033,606,65,2390,299785,65985,365770
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,623583,438420,1457892,113961,1362,1045,1733,3917,94,1806,265643,85483,351126
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638,1273546,101963,1004,371,332,228,444,1657,255836,58438,314274
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279,1612968,176327,1300,478,819,155,103,4034,363933,41323,405256
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1829179,1413843,3792174,720660,15751,29676,2733,5710,589,13975,364869,684906,1049775
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,653430,421766,1509708,171581,1148,463,2875,256,145,3798,304856,91565,396421
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,783705,520808,1823930,147842,7050,4951,1203,7328,311,5988,309592,195321,504913
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,397586,243605,1163804,33724,1351,1034,69,20390,41,1179,258013,43819,301832
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,1010014,91269,814,196,74,41,273,1604,256081,55300,311381
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,815142,57454,965,389,94,234,157,1523,198298,48525,246823
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,630626,372311,1637549,157612,1367,231,168,916,50,1517,378056,67569,445625
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,330339,200733,955372,34559,693,63,101,285,27,630,207237,23558,230795
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,911003,601163,2274674,350700,2201,402,172,199,47,4338,558807,77733,636540
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178,2731351,452394,3920,1451,7795,746,43,11441,711085,41701,752786
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,507279,306145,1372381,220423,2225,522,687,545,3,2810,349856,30764,380620
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,5102041,796756,13782,4377,4391,2247,305,30492,983266,265304,1248570
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940,2505444,737106,4857,2090,1553,3016,211,6422,635840,79068,714908
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,838339,612562,2094271,365806,3225,1912,737,358,185,4502,510378,79288,589666
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,1985654,401678,2536,869,1817,235,33,5066,501559,65031,566590
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654,3119590,650261,4453,1629,9989,426,336,10433,839737,49891,889628
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083,2291892,1169330,6400,8212,2793,1177,38,7889,698520,61742,760262
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,276700,146613,768643,343981,1427,407,323,68,56,2456,248770,8504,257274
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,544943,323414,1333242,805975,3228,900,1866,198,87,3169,410070,35768,445838
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813,2739076,678615,4735,1893,649,338,57,8556,673578,52794,726372
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,740718,488208,1789704,748073,3042,681,11964,179,356,5298,480165,33348,513513
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,819719,574064,2082976,364510,3493,900,9753,107,99,2626,513960,31065,545025
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851,1300586,404410,1766,447,4393,95,35,3451,324972,27179,352151
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,881674,537470,2196884,458650,3527,1381,16030,243,338,7650,573046,34033,607079
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438,4009037,403847,9662,2123,2848,460,207,12711,761958,189170,951128
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098,2928462,620244,5006,767,4619,383,133,4930,742324,42775,785099
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,1079288,795951,2730957,358539,3626,818,1182,209,146,5469,597778,67928,665706
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,3878626,718692,3810,719,5652,183,226,6005,891024,80434,971458
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,773082,589962,1769937,428555,2109,340,564,155,129,4179,352207,99321,451528
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630,3004240,213440,4463,892,1595,233,64,14847,564927,64454,629381
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1565394,1166283,3981502,483750,4947,1286,7898,349,114,14358,926088,80582,1006670
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996,3233790,368153,4181,810,3145,213,184,9792,700173,61467,761640
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,699454,475152,1727869,215081,2153,1389,340,100,1175,4649,344937,50822,395759
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787,3107681,546987,7696,3309,1146,1898,298,7826,438935,316129,755064
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,546782,363364,1368291,203887,1365,199,1562,161,7,2741,293510,45997,339507
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,865837,562846,2292534,195765,2373,1133,341,701,27,4096,465152,77963,543115
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720,1738769,103567,3963,1649,1747,487,1907,10470,337048,91040,428088
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,647042,408160,1611126,146346,2464,708,2887,5671,18,5260,334246,67752,401998
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,452803,272047,1211427,213822,1969,2280,3907,313,72,2929,271234,72490,343724
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255,3047427,865090,8469,926,1337,296,1895,9602,839514,96620,936134
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,4086453,990349,4865,668,878,464,104,15590,1142260,101565,1243825
205,BIHAR,Sheohar,656246,346673,309573,283698,171645,112053,552492,99342,522,216,73,52,44,3505,158484,7516,166000
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,885188,551606,2672311,740101,2897,261,253,188,20,7543,807294,49670,856964
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,3652168,818912,3262,564,328,442,169,11534,1047552,41234,1088786
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,647672,385611,1809936,409251,3758,271,136,546,42,5136,572287,27815,600102
209,BIHAR,Araria,2811569,1463333,1348236,1195768,727643,468125,1593525,1207442,4116,371,187,1910,63,3955,659061,44213,703274
210,BIHAR,Kishanganj,1690400,866970,823430,745056,439921,305135,531236,1149095,5783,398,183,1476,28,2201,401793,43357,445150
211,BIHAR,Purnia,3264619,1699370,1565249,1332326,805261,527065,1989420,1255641,7989,614,353,1450,650,8502,712847,85749,798596
212,BIHAR,Katihar,3071029,1600430,1470599,1280190,762256,517934,1684589,1365645,8659,2754,212,507,2141,6522,668232,69838,738070
213,BIHAR,Madhepura,2001762,1047559,954203,834577,517666,316911,1753829,241760,1342,170,60,133,81,4387,486278,24000,510278
214,BIHAR,Saharsa,1900661,997174,903487,804996,506374,298622,1629254,266620,1292,197,60,109,8,3121,432651,38046,470697
215,BIHAR,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,3042729,881476,3534,832,245,236,101,8232,907174,95539,1002713
216,BIHAR,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,4032773,745546,5149,933,288,382,98,15893,998694,120700,1119394
217,BIHAR,Gopalganj,2562012,1267666,1294346,1382998,793905,589093,2119262,436057,2463,271,167,133,28,3631,515925,38133,554058
218,BIHAR,Siwan,3330464,1675090,1655374,1930175,1115906,814269,2712635,608282,2618,369,407,359,86,5708,632514,41858,674372
219,BIHAR,Saran,3951862,2022821,1929041,2157454,1285767,871687,3534772,406449,2330,371,229,322,107,7282,701323,76299,777622
220,BIHAR,Vaishali,3495021,1844535,1650486,1926740,1152576,774164,3152346,333980,2203,707,362,246,71,5106,699317,51494,750811
221,BIHAR,Samastipur,4261566,2230003,2031563,2142880,1293575,849305,3800598,452370,2126,554,292,231,112,5283,1012979,43486,1056465
222,BIHAR,Begusarai,2970541,1567660,1402881,1548673,918507,630166,2554330,407348,2209,402,229,276,57,5690,594377,139248,733625
223,BIHAR,Khagaria,1666886,883786,783100,768028,461153,306875,1486989,175588,1253,143,79,86,115,2633,373696,21007,394703
224,BIHAR,Bhagalpur,3037766,1615663,1422103,1573066,937669,635397,2487866,537098,3556,415,180,1050,32,7569,522527,130634,653161
225,BIHAR,Banka,2034763,1067140,967623,965321,590961,374360,1772655,250925,6138,139,113,94,1035,3664,425604,18492,444096
226,BIHAR,Munger,1367765,729041,638724,801817,473741,328076,1252319,110416,1815,338,95,145,61,2576,222281,85782,308063
227,BIHAR,Lakhisarai,1000912,526345,474567,507270,305182,202088,956396,40886,487,140,52,78,52,2821,175882,31763,207645
228,BIHAR,Sheikhpura,636342,329743,306599,328676,196431,132245,596102,37653,313,75,41,43,31,2084,108293,24345,132638
229,BIHAR,Nalanda,2877653,1497060,1380593,1519933,919558,600375,2669775,198033,1978,393,414,561,64,6435,514141,102522,616663
230,BIHAR,Patna,5838465,3078512,2759953,3459679,2028047,1431632,5356075,439952,12551,4803,1062,2151,203,21668,657991,552103,1210094
231,BIHAR,Bhojpur,2728407,1430380,1298027,1599151,973486,625665,2518216,197819,2165,544,647,1472,48,7496,434559,77368,511927
232,BIHAR,Buxar,1706352,887977,818375,989807,593544,396263,1591454,105423,2125,248,5090,97,57,1858,299252,35405,334657
233,BIHAR,Kaimur (Bhabua),1626384,847006,779378,920276,549923,370353,1456229,155283,1407,296,7707,129,1534,3799,325143,15299,340442
234,BIHAR,Rohtas,2959918,1543546,1416372,1799832,1061783,738049,2645415,300487,2889,2569,1584,252,537,6185,512383,95678,608061
235,BIHAR,Aurangabad,2540073,1318684,1221389,1466002,868733,597269,2291133,237353,2218,295,334,775,19,7946,428291,49006,477297
236,BIHAR,Gaya,4391418,2266566,2124852,2297613,1368803,928810,3876395,488121,3943,913,870,1723,108,19345,696289,111282,807571
237,BIHAR,Nawada,2219146,1144668,1074478,1091012,659474,431538,1964620,244394,1299,250,176,279,80,8048,379551,45323,424874
238,BIHAR,Jamui,1760405,916064,844341,858588,534385,324203,1525746,217621,8443,162,159,87,3438,4749,325909,30851,356760
239,BIHAR,Jehanabad,1125313,585582,539731,618881,374412,244469,1045117,75742,691,148,248,60,58,3249,186660,28132,214792
240,BIHAR,Arwal,700843,363497,337346,386351,235279,151072,634099,64259,390,59,323,74,60,1579,134334,9960,144294
241,SIKKIM,North  District,43709,24730,18979,30450,18579,11871,14883,815,2660,816,23318,35,921,261,11543,2066,13609
242,SIKKIM,West District,136435,70238,66197,93432,51988,41444,75286,965,13002,40,36390,20,10477,255,32091,1886,33977
243,SIKKIM,South District,146850,76670,70180,106741,59357,47384,84583,1889,21462,151,35053,45,3176,491,31135,8163,39298
244,SIKKIM,East District,283583,151432,132151,214329,121345,92984,177910,6198,23398,861,72455,214,1726,821,40626,41512,82138
245,ARUNACHAL PRADESH,Tawang,49977,29151,20826,26073,17720,8353,11842,787,776,1164,34920,72,349,67,10730,2452,13182
246,ARUNACHAL PRADESH,West Kameng,83947,46155,37792,48492,29566,18926,31265,1970,8466,328,36087,71,5556,204,17889,6306,24195
247,ARUNACHAL PRADESH,East Kameng,78690,38775,39915,38449,21599,16850,12333,652,37136,36,452,23,27868,190,14503,5215,19718
248,ARUNACHAL PRADESH,Papum Pare,176573,89182,87391,121048,65794,55254,57027,6148,84397,310,4768,139,22586,1198,20308,30180,50488
249,ARUNACHAL PRADESH,Upper Subansiri,83448,41758,41690,45278,24807,20471,13474,521,8779,28,297,11,59449,889,14542,4672,19214
250,ARUNACHAL PRADESH,West Siang,112274,58168,54106,64746,36777,27969,15881,2218,29969,577,3311,49,60005,264,22272,8503,30775
251,ARUNACHAL PRADESH,East Siang,99214,50116,49098,62576,34210,28366,27854,2289,18254,69,776,30,49393,549,19497,9524,29021
252,ARUNACHAL PRADESH,Upper Siang,35320,18699,16621,18195,10723,7472,5261,411,5643,27,2577,7,20967,427,8569,2182,10751
253,ARUNACHAL PRADESH,Changlang,148226,76948,71278,73174,44027,29147,47683,2134,35969,94,50381,95,11738,132,33422,6498,39920
254,ARUNACHAL PRADESH,Tirap,111975,57604,54371,47974,29313,18661,20682,1103,83361,61,778,43,5325,622,18420,6500,24920
255,ARUNACHAL PRADESH,Lower Subansiri,83030,41843,41187,54057,29470,24587,9551,1482,34402,27,193,13,37085,277,18112,5365,23477
256,ARUNACHAL PRADESH,Kurung Kumey,92076,45318,46758,36606,20258,16348,4859,471,51189,43,121,81,34158,1154,18603,1092,19695
257,ARUNACHAL PRADESH,Dibang Valley,8004,4414,3590,4436,2614,1822,3141,111,223,7,126,2,4267,127,2055,1175,3230
258,ARUNACHAL PRADESH,Lower Dibang Valley,54080,28053,26027,31849,18087,13762,28915,2247,9213,33,2932,19,10393,328,12000,3950,15950
259,ARUNACHAL PRADESH,Lohit,145726,76221,69505,83062,48380,34682,99020,3846,10684,210,24452,104,7277,133,33599,11372,44971
260,ARUNACHAL PRADESH,Anjaw,21167,11507,9660,9990,6523,3467,13088,655,271,273,644,12,6137,87,6025,428,6453
261,NAGALAND,Mon,250260,131753,118507,119626,67432,52194,8102,3444,236494,84,1256,314,1,565,43607,7415,51022
262,NAGALAND,Mokokchung,194622,101092,93530,159494,83479,76015,9840,2057,181847,78,442,66,6,286,37536,17742,55278
263,NAGALAND,Zunheboto,140757,71217,69540,102881,53504,49377,2580,772,136995,39,286,6,2,77,31267,6044,37311
264,NAGALAND,Wokha,166343,84505,81838,128208,67385,60823,5605,2043,158236,34,318,8,20,79,38499,8170,46669
265,NAGALAND,Dimapur,378811,197394,181417,278037,150142,127895,108900,31212,234239,566,1270,2148,157,319,49116,62853,111969
266,NAGALAND,Phek,163418,83743,79675,105893,57926,47967,3563,950,158224,31,350,17,198,85,38903,7295,46198
267,NAGALAND,Tuensang,196596,101933,94663,117511,63653,53858,2979,1052,191864,27,572,5,1,96,40690,9451,50141
268,NAGALAND,Longleng,50484,26502,23982,29859,16139,13720,873,635,48849,5,77,0,0,45,12686,2451,15137
269,NAGALAND,Kiphire,74004,37830,36174,41232,22675,18557,1040,564,71803,13,210,1,1,372,16032,4290,20322
270,NAGALAND,Kohima,267988,138966,129022,197489,107038,90451,25496,4384,234955,998,1519,80,335,221,31845,44255,76100
271,NAGALAND,Peren,95219,49714,45505,62204,34584,27620,4076,1850,86145,15,459,10,2493,171,20204,4073,24277
272,MANIPUR,Senapati,479148,247323,231825,264477,148012,116465,43833,1649,426819,140,2409,53,1243,3002,38008,1826,39834
273,MANIPUR,Tamenglong,140651,72371,68280,85006,47403,37603,2995,589,134760,59,425,57,1144,622,23982,4119,28101
274,MANIPUR,Churachandpur,274143,138820,135323,195935,104013,91922,12034,2886,254979,152,495,87,2333,1177,52972,4853,57825
275,MANIPUR,Bishnupur,237399,118782,118617,156333,87313,69020,175102,18691,4264,56,76,16,38457,737,34977,21172,56149
276,MANIPUR,Thoubal,422168,210845,211323,269304,152617,116687,267146,107323,4322,106,114,24,42347,786,65961,38302,104263
277,MANIPUR,Imphal West,517992,255054,262938,392626,205985,186641,387497,24298,23377,589,1891,1264,77032,2044,51055,85746,136801
278,MANIPUR,Imphal East,456113,226094,230019,324664,173314,151350,274906,80199,27361,181,639,62,70825,1940,64421,46520,110941
279,MANIPUR,Ukhrul,183998,94718,89280,129829,70148,59681,7553,1115,174112,108,635,70,32,373,36084,5806,41890
280,MANIPUR,Chandel,144182,74579,69603,90302,51053,39249,10810,3086,129049,136,400,59,354,288,30377,3783,34160
281,MIZORAM,Mamit,86364,44828,41536,60191,32977,27214,2989,1782,69104,13,12328,25,19,104,16726,4129,20855
282,MIZORAM,Kolasib,83955,42918,41037,65895,34147,31748,4000,4426,75210,16,108,2,46,147,9669,12507,22176
283,MIZORAM,Aizawl,400309,199270,201039,340595,169547,171048,13249,5264,379134,105,1570,76,505,406,20570,80341,100911
284,MIZORAM,Champhai,125745,63388,62357,100802,51440,49362,1075,699,123446,9,151,45,194,126,18395,12717,31112
285,MIZORAM,Serchhip,64937,32851,32086,54476,27598,26878,991,335,63444,6,60,9,35,57,7472,8018,15490
286,MIZORAM,Lunglei,161428,82891,78537,121122,64515,56607,5231,1290,127124,74,27543,93,5,68,21479,17315,38794
287,MIZORAM,Lawngtlai,117894,60599,57295,62861,36444,26417,1668,522,63892,52,51549,122,2,87,21993,5273,27266
288,MIZORAM,Saiha,56574,28594,27980,42233,21861,20372,933,514,54977,11,102,4,2,31,7043,5784,12827
289,TRIPURA,West Tripura,1725739,879428,846311,1361354,722998,638356,1512801,152791,53622,499,2128,362,430,3106,289621,217016,506637
290,TRIPURA,South Tripura,876001,447544,428457,646810,351082,295728,736015,49258,39258,245,49420,106,808,891,219171,44906,264077
291,TRIPURA,Dhalai,378230,194544,183686,276217,151643,124574,307120,8256,22940,175,39120,85,206,328,89457,14071,103528
292,TRIPURA,North Tripura,693947,352860,341087,520402,275646,244756,507967,105737,44062,151,34717,307,70,936,150437,42184,192621
293,MEGHALAYA,West Garo Hills,643291,324159,319132,358702,193438,165264,122936,106788,389956,209,3392,144,16950,2916,139351,18594,157945
294,MEGHALAYA,East Garo Hills,317917,161223,156694,192147,102513,89634,17272,3359,289708,56,1004,38,5617,863,62698,11518,74216
295,MEGHALAYA,South Garo Hills,142334,73170,69164,82062,45003,37059,7036,1050,132984,27,332,10,362,533,35930,3713,39643
296,MEGHALAYA,West Khasi Hills,383461,193715,189746,230678,117307,113371,6498,1533,366881,58,1313,38,5878,1262,74832,12299,87131
297,MEGHALAYA,Ribhoi,258840,132531,126309,155859,80977,74882,30945,1838,218508,166,428,49,6308,598,57988,5736,63724
298,MEGHALAYA,East Khasi Hills,825922,410749,415173,578030,287270,290760,144935,14185,543394,2495,3111,303,115597,1902,106248,108843,215091
299,MEGHALAYA,Jaintia Hills,395124,196285,198839,187527,87371,100156,12456,1646,271596,34,284,45,107559,1504,76546,7171,83717
300,ASSAM,Kokrajhar,887142,452905,434237,489305,275220,214085,529068,252271,101091,93,1718,396,123,2382,204896,17115,222011
301,ASSAM,Dhubri,1949258,997848,951410,922341,511551,410790,388380,1553023,4107,254,101,1846,45,1502,460602,60417,521019
302,ASSAM,Goalpara,1008183,513292,494891,563577,304302,259275,347878,579929,77862,771,194,477,103,969,228610,39504,268114
303,ASSAM,Barpeta,1693622,867004,826618,897058,499038,398020,492966,1198036,1020,112,49,399,14,1026,447189,52192,499381
304,ASSAM,Morigaon,957423,486651,470772,539902,289698,250204,451882,503257,834,113,65,244,11,1017,232206,25275,257481
305,ASSAM,Nagaon,2823768,1439112,1384656,1710716,921850,788866,1225246,1563203,26844,3036,1073,1162,61,3143,674999,124186,799185
306,ASSAM,Sonitpur,1924110,983904,940206,1108572,620525,488047,1422824,350536,138166,1363,5088,1003,221,4909,483325,64528,547853
307,ASSAM,Lakhimpur,1042137,529674,512463,683486,375552,307934,797130,193476,46217,412,1074,250,2410,1168,293239,34694,327933
308,ASSAM,Dhemaji,686133,351249,334884,423028,237761,185267,655052,13475,8711,297,911,167,6315,1205,211758,16504,228262
309,ASSAM,Tinsukia,1327929,680231,647698,798322,453449,344873,1181347,48373,76877,1999,16228,837,395,1873,290704,90910,381614
310,ASSAM,Dibrugarh,1326335,676434,649901,884531,491361,393170,1198401,64526,52968,2261,4673,1055,46,2405,299852,77163,377015
311,ASSAM,Sivasagar,1151050,589216,561834,813505,444767,368738,1007277,95553,33147,902,3953,286,8541,1391,360182,45047,405229
312,ASSAM,Jorhat,1092256,556805,535451,794929,432335,362594,1008219,54684,21051,1540,2378,719,578,3087,286330,80824,367154
313,ASSAM,Golaghat,1066888,543161,523727,721764,396475,325289,917426,90312,50582,1131,3863,530,1347,1697,292893,34190,327083
314,ASSAM,Karbi Anglong,956313,490167,466146,557214,314253,242961,766000,20290,157789,370,6260,397,3568,1639,215691,37185,252876
315,ASSAM,Dima Hasao,214102,110802,103300,140873,78559,62314,143593,4358,63310,207,680,70,1170,714,37610,21309,58919
316,ASSAM,Cachar,1736617,886284,850333,1174128,639946,534182,1038985,654816,37635,280,341,1673,98,2789,346227,88933,435160
317,ASSAM,Karimganj,1228686,625864,602822,795297,435942,359355,521962,692489,11990,114,446,524,110,1051,261945,32695,294640
318,ASSAM,Hailakandi,659296,337890,321406,407366,226836,180530,251194,397653,8480,84,490,247,636,512,159215,16202,175417
319,ASSAM,Bongaigaon,738804,375818,362986,434078,237114,196964,359145,371033,5924,384,236,871,9,1202,181923,38470,220393
320,ASSAM,Chirang,482162,244860,237302,259902,145869,114033,320647,109248,49747,87,406,125,482,1420,129018,11613,140631
321,ASSAM,Kamrup,1517542,778461,739081,995319,550219,445100,877495,601784,33297,319,185,1330,55,3077,390596,43849,434445
322,ASSAM,Kamrup Metropolitan,1253938,647585,606353,1001191,537227,463964,1064412,151071,18810,3679,1627,9250,170,4919,61334,366858,428192
323,ASSAM,Nalbari,771639,396006,375633,531771,293184,238587,491582,277488,429,62,27,1004,9,1038,210706,28238,238944
324,ASSAM,Baksa,950075,481330,468745,572837,322614,250223,782901,135750,27076,156,1189,239,353,2411,291641,3580,295221
325,ASSAM,Darrang,928500,475273,453227,487039,268666,218373,327322,597392,1688,431,57,724,19,867,268517,20189,288706
